benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5253516406,2960355871,1711107660276
log-regression,1911172251,8296171098,1711107660276
log-regression,1743221659,10283377743,1711107660276
log-regression,1666103299,12109476651,1711107660276
log-regression,1683226754,13857877211,1711107660276
log-regression,1566498891,15619327704,1711107660276
log-regression,1563908142,17280581163,1711107660276
log-regression,1499549530,18922917412,1711107660276
log-regression,1482218897,20503892806,1711107660276
log-regression,1461675151,22064095090,1711107660276
log-regression,1588334699,23600239723,1711107660276
log-regression,1561924905,25255892621,1711107660276
log-regression,1515852353,26888610998,1711107660276
log-regression,1442860971,28468014814,1711107660276
log-regression,1902793892,29972846111,1711107660276
log-regression,1892757657,31947548518,1711107660276
log-regression,1539680327,33905940850,1711107660276
log-regression,1417836850,35511258664,1711107660276
log-regression,1555604788,37007593379,1711107660276
log-regression,1484858259,38641520280,1711107660276
