benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5342108491,3012687100,1711107700559
log-regression,1883762146,8445777789,1711107700559
log-regression,1707648581,10406146656,1711107700559
log-regression,1643059981,12183352871,1711107700559
log-regression,1658828122,13907604201,1711107700559
log-regression,1589128864,15633575939,1711107700559
log-regression,1484412988,17294501083,1711107700559
log-regression,1511014932,18855520935,1711107700559
log-regression,1429294068,20434796292,1711107700559
log-regression,1440407072,21934429494,1711107700559
log-regression,1531543514,23442005453,1711107700559
log-regression,1468219686,25041872034,1711107700559
log-regression,1423307530,26579431129,1711107700559
log-regression,1461410121,28076214473,1711107700559
log-regression,1366162682,29602980542,1711107700559
log-regression,1949718276,31034146854,1711107700559
log-regression,1745683644,33056720987,1711107700559
log-regression,1552541343,34868924156,1711107700559
log-regression,1486342337,36487917634,1711107700559
log-regression,1635381011,38044030805,1711107700559
