benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5598836986,2873028489,1711107619420
log-regression,1880660178,8551182697,1711107619420
log-regression,1738291281,10505306496,1711107619420
log-regression,1673788109,12318836688,1711107619420
log-regression,1701126573,14064569529,1711107619420
log-regression,1639260503,15832924360,1711107619420
log-regression,1583662853,17547642252,1711107619420
log-regression,1548950803,19207318991,1711107619420
log-regression,1473766310,20818873579,1711107619420
log-regression,1453249283,22358209346,1711107619420
log-regression,1449385367,23875587480,1711107619420
log-regression,1447606111,25387756558,1711107619420
log-regression,1556921969,26948637675,1711107619420
log-regression,1527600804,28568922517,1711107619420
log-regression,1554982245,30155473576,1711107619420
log-regression,1945511907,31869027725,1711107619420
log-regression,1875427425,33900010352,1711107619420
log-regression,1567296686,35842196008,1711107619420
log-regression,1561076368,37491225188,1711107619420
log-regression,1597006779,39125141022,1711107619420
