benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5378510120,3130116805,1711107740392
log-regression,1802748627,8590015256,1711107740392
log-regression,1658457991,10489439362,1711107740392
log-regression,1686156312,12221011599,1711107740392
log-regression,1662922209,13981278987,1711107740392
log-regression,1568739344,15712130575,1711107740392
log-regression,1531000128,17355233518,1711107740392
log-regression,1453709951,18965325752,1711107740392
log-regression,1388121599,20484601471,1711107740392
log-regression,1390291034,21942241127,1711107740392
log-regression,1489126891,23398001928,1711107740392
log-regression,1540059844,24957247085,1711107740392
log-regression,1479795119,26562521497,1711107740392
log-regression,1517217707,28113675386,1711107740392
log-regression,1801673473,29693224455,1711107740392
log-regression,1837690223,31568214123,1711107740392
log-regression,1578741944,33475182946,1711107740392
log-regression,1549574419,35119657512,1711107740392
log-regression,1490069608,36737089212,1711107740392
log-regression,1480173848,38289441366,1711107740392
