benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5213933160,3297092149,1711107898924
log-regression,1865607863,8586155610,1711107898924
log-regression,1724363676,10522732498,1711107898924
log-regression,1678902535,12316462549,1711107898924
log-regression,1646252475,14074310983,1711107898924
log-regression,1541686812,15810180757,1711107898924
log-regression,1582811373,17464843297,1711107898924
log-regression,1496376913,19122138215,1711107898924
log-regression,1459081422,20684758233,1711107898924
log-regression,1453277694,22206799575,1711107898924
log-regression,1543038086,23720203536,1711107898924
log-regression,1543203328,25334270081,1711107898924
log-regression,1510153971,26940422041,1711107898924
log-regression,1449179658,28514595609,1711107898924
log-regression,1526444230,30028415762,1711107898924
log-regression,1740043063,31614083884,1711107898924
log-regression,1863991268,33432168600,1711107898924
log-regression,1596171874,35364166184,1711107898924
log-regression,1568224658,37037234964,1711107898924
log-regression,1563046500,38678830926,1711107898924
