benchmark,duration_ns,uptime_ns,vm_start_unix_ms
log-regression,5037487809,2916675235,1711107859642
log-regression,1794319032,8041995822,1711107859642
log-regression,1662555287,9921518968,1711107859642
log-regression,1682922762,11668178577,1711107859642
log-regression,1626171218,13420753790,1711107859642
log-regression,1559644132,15114065764,1711107859642
log-regression,1496406804,16738374759,1711107859642
log-regression,1501024717,18305785452,1711107859642
log-regression,1498986618,19872957522,1711107859642
log-regression,1514697851,21438062827,1711107859642
log-regression,1509555699,23026413165,1711107859642
log-regression,1459840737,24611767575,1711107859642
log-regression,1548329779,26136214070,1711107859642
log-regression,1483297330,27749822674,1711107859642
log-regression,1489227622,29304448078,1711107859642
log-regression,1660557597,30860496237,1711107859642
log-regression,1734895279,32603915845,1711107859642
log-regression,1589247465,34415568351,1711107859642
log-regression,1494934692,36073604825,1711107859642
log-regression,1470621717,37637468090,1711107859642
