benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,4876096340,279071297,1711111104031
mnemonics,4435157305,5349467417,1711111104031
mnemonics,5184370321,9992348054,1711111104031
mnemonics,5123556426,15374884615,1711111104031
mnemonics,5365720389,20683565707,1711111104031
mnemonics,5122792953,26235089753,1711111104031
mnemonics,5308126267,31542954287,1711111104031
mnemonics,6046270175,37041525730,1711111104031
mnemonics,5346620276,43295934985,1711111104031
mnemonics,5078692861,48818748368,1711111104031
mnemonics,5590970521,54073617552,1711111104031
mnemonics,5099520377,59855422010,1711111104031
mnemonics,5253090021,65128213591,1711111104031
mnemonics,5090903783,70559727153,1711111104031
mnemonics,5270366793,75854061349,1711111104031
mnemonics,5091356033,81298040549,1711111104031
