benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,3873662348,289675821,1711111230742
mnemonics,3249480277,4354208485,1711111230742
mnemonics,2667923480,7769129557,1711111230742
mnemonics,2434211411,10613891093,1711111230742
mnemonics,2570044917,13174745376,1711111230742
mnemonics,2572919025,15889550290,1711111230742
mnemonics,2495969614,18598132917,1711111230742
mnemonics,2239373426,21222695252,1711111230742
mnemonics,2214198750,23587581125,1711111230742
mnemonics,2226393116,25928933177,1711111230742
mnemonics,2215772407,28285560795,1711111230742
mnemonics,2421594768,30634579898,1711111230742
mnemonics,2226922878,33182586168,1711111230742
mnemonics,2276498448,35534864939,1711111230742
mnemonics,2498937152,37950405070,1711111230742
mnemonics,2359770622,40575174949,1711111230742
