benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,3886698433,283351725,1711111355213
mnemonics,2882347445,4360506062,1711111355213
mnemonics,2585104009,7406683107,1711111355213
mnemonics,2284174740,10139347736,1711111355213
mnemonics,2051391216,12564309099,1711111355213
mnemonics,2056938879,14768535331,1711111355213
mnemonics,2063571675,16982019767,1711111355213
mnemonics,2038057301,19178790806,1711111355213
mnemonics,2064826421,21367211109,1711111355213
mnemonics,2365065997,23559434897,1711111355213
mnemonics,2206662771,26053769743,1711111355213
mnemonics,2062224503,28386802161,1711111355213
mnemonics,2033756192,30597854123,1711111355213
mnemonics,2114617696,32765218448,1711111355213
mnemonics,2447769455,35024220143,1711111355213
mnemonics,2450149210,37610694780,1711111355213
