benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,3802074793,281436178,1711111314635
mnemonics,2802117554,4266256465,1711111314635
mnemonics,2599782639,7262978534,1711111314635
mnemonics,2430956394,10009843367,1711111314635
mnemonics,2329307711,12611542517,1711111314635
mnemonics,2017610150,15093025858,1711111314635
mnemonics,2192139961,17261624819,1711111314635
mnemonics,2025426866,19578047036,1711111314635
mnemonics,2083980669,21727821640,1711111314635
mnemonics,2089136932,23935640795,1711111314635
mnemonics,2411413375,26182861714,1711111314635
mnemonics,2284273658,28729860494,1711111314635
mnemonics,2365286842,31136624746,1711111314635
mnemonics,2411526078,33660306192,1711111314635
mnemonics,2025297508,36206327613,1711111314635
mnemonics,2025440555,38358449637,1711111314635
