benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,3715658039,295766134,1711111473272
mnemonics,2873110717,4218898541,1711111473272
mnemonics,2497785616,7286383504,1711111473272
mnemonics,2265613192,9926357404,1711111473272
mnemonics,2549305376,12381950753,1711111473272
mnemonics,2223745707,15097816273,1711111473272
mnemonics,2207197336,17451831982,1711111473272
mnemonics,2095395364,19821304169,1711111473272
mnemonics,2039563599,22040644446,1711111473272
mnemonics,2063628916,24204094227,1711111473272
mnemonics,2084883689,26391498192,1711111473272
mnemonics,2084282592,28602754539,1711111473272
mnemonics,2300037894,30807676505,1711111473272
mnemonics,2462410483,33244616544,1711111473272
mnemonics,2503973632,35837181050,1711111473272
mnemonics,2355123290,38485539630,1711111473272
