benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,3903332308,334890658,1711111514303
mnemonics,3013341289,4413407558,1711111514303
mnemonics,2558362854,7606331266,1711111514303
mnemonics,2256472893,10316746424,1711111514303
mnemonics,2300242133,12713374099,1711111514303
mnemonics,2212098702,15172751051,1711111514303
mnemonics,2055638261,17516681197,1711111514303
mnemonics,2087101467,19702185041,1711111514303
mnemonics,2292405791,21915667974,1711111514303
mnemonics,2445946070,24347985392,1711111514303
mnemonics,2069410314,26917803120,1711111514303
mnemonics,2080198147,29116604076,1711111514303
mnemonics,2042817979,31323812532,1711111514303
mnemonics,2049712991,33492662195,1711111514303
mnemonics,2039750349,35665916768,1711111514303
mnemonics,2042823274,37843363089,1711111514303
