benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,3757000857,303101002,1711111632755
mnemonics,3016690653,4265335871,1711111632755
mnemonics,2497925209,7436436200,1711111632755
mnemonics,2310685186,10107182537,1711111632755
mnemonics,2297132216,12567442470,1711111632755
mnemonics,2167911518,15009403535,1711111632755
mnemonics,2194377574,17309880111,1711111632755
mnemonics,2334731748,19657458832,1711111632755
mnemonics,2155781553,22120377163,1711111632755
mnemonics,2179271213,24408637526,1711111632755
mnemonics,2346838215,26718728291,1711111632755
mnemonics,2454825561,29204690916,1711111632755
mnemonics,2131701223,31791213279,1711111632755
mnemonics,2245641284,34052528150,1711111632755
mnemonics,2188141119,36437826224,1711111632755
mnemonics,2439243156,38763966822,1711111632755
