benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,3733984875,285936480,1711111674136
mnemonics,2961908726,4249939129,1711111674136
mnemonics,2298228717,7378823299,1711111674136
mnemonics,2130748316,9832781006,1711111674136
mnemonics,2172413235,12116153879,1711111674136
mnemonics,1966900833,14435094707,1711111674136
mnemonics,2009914049,16528523002,1711111674136
mnemonics,2066241910,18707797952,1711111674136
mnemonics,1941615613,20900494020,1711111674136
mnemonics,1977265578,22989152444,1711111674136
mnemonics,1941619331,25121651500,1711111674136
mnemonics,1951213389,27206551489,1711111674136
mnemonics,2000810377,29306089682,1711111674136
mnemonics,1971666343,31447208747,1711111674136
mnemonics,2149231791,33546323216,1711111674136
mnemonics,1957359244,35819452786,1711111674136
