benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,3944130673,311093788,1711111800724
mnemonics,2998748775,4474894662,1711111800724
mnemonics,2213142583,7637860622,1711111800724
mnemonics,2130231962,9997620340,1711111800724
mnemonics,1969353105,12270336577,1711111800724
mnemonics,2245490627,14386270666,1711111800724
mnemonics,2240630878,16775118522,1711111800724
mnemonics,1969815140,19176901486,1711111800724
mnemonics,1864247108,21275550669,1711111800724
mnemonics,1869256974,23269274505,1711111800724
mnemonics,1862928207,25265397276,1711111800724
mnemonics,1858453846,27255237569,1711111800724
mnemonics,1857498592,29243619555,1711111800724
mnemonics,2242231304,31244280158,1711111800724
mnemonics,2258585610,33625295429,1711111800724
mnemonics,1936172503,36020433414,1711111800724
