benchmark,duration_ns,uptime_ns,vm_start_unix_ms
mnemonics,3754940260,292847564,1711111753183
mnemonics,3004789513,4224694222,1711111753183
mnemonics,3096280289,7406463591,1711111753183
mnemonics,2759188385,10665477564,1711111753183
mnemonics,2390301867,13577317515,1711111753183
mnemonics,2634835146,16103691089,1711111753183
mnemonics,2693729758,18896107883,1711111753183
mnemonics,2739957972,21735605104,1711111753183
mnemonics,2846068693,24632918192,1711111753183
mnemonics,2846067900,27648300074,1711111753183
mnemonics,2357157865,30663720476,1711111753183
mnemonics,2345568576,33155082829,1711111753183
mnemonics,2807156253,35638357162,1711111753183
mnemonics,2830806789,38591661401,1711111753183
mnemonics,2805567726,41568737059,1711111753183
mnemonics,2803131237,44529394076,1711111753183
