benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,55440617039,3163573284,1710919965033
movie-lens,49409399916,58700595383,1710919965033
movie-lens,48957021143,108193876135,1710919965033
movie-lens,48605269426,157242075203,1710919965033
movie-lens,48504460037,205939797103,1710919965033
movie-lens,48574247525,254532498203,1710919965033
movie-lens,48336518239,303197753117,1710919965033
movie-lens,48475084585,351629871646,1710919965033
movie-lens,48339843716,400192121540,1710919965033
movie-lens,48299166536,448622398717,1710919965033
movie-lens,48421662875,497007615098,1710919965033
movie-lens,48423986968,545508448932,1710919965033
movie-lens,48302257283,594011252100,1710919965033
movie-lens,48286881132,642389795120,1710919965033
movie-lens,48367027070,690753234072,1710919965033
movie-lens,48103896052,739197496104,1710919965033
movie-lens,48146588707,787391277912,1710919965033
movie-lens,48312555904,835615669607,1710919965033
movie-lens,48215474996,883997489630,1710919965033
movie-lens,48113460767,932250084260,1710919965033
