benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,53441376416,3112387980,1710924754522
movie-lens,48273634101,56649984372,1710924754522
movie-lens,48389038166,105015682686,1710924754522
movie-lens,47997266581,153493772086,1710924754522
movie-lens,47857900695,201577307175,1710924754522
movie-lens,47864611881,249514868262,1710924754522
movie-lens,47701592266,297469078963,1710924754522
movie-lens,47668974877,345259201998,1710924754522
movie-lens,47796031712,393013088162,1710924754522
movie-lens,47970073900,440887615419,1710924754522
movie-lens,47882766461,488949415870,1710924754522
movie-lens,47835000535,536923150396,1710924754522
movie-lens,47744049187,584836453936,1710924754522
movie-lens,47853735276,632656765231,1710924754522
movie-lens,47777465539,680589199971,1710924754522
movie-lens,47648923983,728444748250,1710924754522
movie-lens,47590107825,776169515396,1710924754522
movie-lens,47623439717,823838632526,1710924754522
movie-lens,47536670549,871538764647,1710924754522
movie-lens,47538844801,919150707743,1710924754522
