benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,52809526972,3111374801,1710931745540
movie-lens,47388385798,56006755467,1710931745540
movie-lens,47293169997,103489245334,1710931745540
movie-lens,47042617578,150873884304,1710931745540
movie-lens,47013776320,198001792145,1710931745540
movie-lens,46945966705,245102542049,1710931745540
movie-lens,46905423515,292131367970,1710931745540
movie-lens,47053674805,339122820589,1710931745540
movie-lens,46997760673,386261529637,1710931745540
movie-lens,46805745898,433345695559,1710931745540
movie-lens,46729944299,480238262179,1710931745540
movie-lens,46838277342,527049318354,1710931745540
movie-lens,46791593469,573970500932,1710931745540
movie-lens,46928112704,620840610603,1710931745540
movie-lens,46913735910,667857860518,1710931745540
movie-lens,46735026129,714853998981,1710931745540
movie-lens,46722402897,761667696107,1710931745540
movie-lens,46813720244,808470239363,1710931745540
movie-lens,46640039332,855362367429,1710931745540
movie-lens,46634426103,902085839333,1710931745540
