benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,60046422195,3103333064,1710929618815
movie-lens,55468717803,63242942363,1710929618815
movie-lens,55361061578,118792307873,1710929618815
movie-lens,55128872802,174229641658,1710929618815
movie-lens,55004390006,229433713577,1710929618815
movie-lens,54946879657,284513669745,1710929618815
movie-lens,54844284585,339543511833,1710929618815
movie-lens,54825903838,394467384716,1710929618815
movie-lens,54774028499,449372634222,1710929618815
movie-lens,54742675112,504231067969,1710929618815
movie-lens,54840931631,559053762729,1710929618815
movie-lens,54806658611,613974916900,1710929618815
movie-lens,54723644915,668855862534,1710929618815
movie-lens,54867127536,723650023762,1710929618815
movie-lens,54613610758,778586465523,1710929618815
movie-lens,54872471187,833270518711,1710929618815
movie-lens,54639861105,888221658801,1710929618815
movie-lens,54578424232,942931166291,1710929618815
movie-lens,54677578596,997577725561,1710929618815
movie-lens,54792094033,1052324509636,1710929618815
