benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,55354592206,3129989351,1710930726319
movie-lens,51130821497,58579011619,1710930726319
movie-lens,50802590548,109801269388,1710930726319
movie-lens,50573779899,160686250650,1710930726319
movie-lens,50645021170,211348881958,1710930726319
movie-lens,50548047709,262082329277,1710930726319
movie-lens,50578860782,312715915233,1710930726319
movie-lens,50492309488,363374704399,1710930726319
movie-lens,50212993573,413959896559,1710930726319
movie-lens,50428624855,464257404064,1710930726319
movie-lens,50363290578,514769658865,1710930726319
movie-lens,50321248773,565211512879,1710930726319
movie-lens,50366027353,615611648866,1710930726319
movie-lens,50336077423,666055257083,1710930726319
movie-lens,50278728131,716461705135,1710930726319
movie-lens,50418471633,766811181546,1710930726319
movie-lens,50261003375,817301818327,1710930726319
movie-lens,50385393673,867634701773,1710930726319
movie-lens,50362271971,918093165576,1710930726319
movie-lens,50303942527,968527960623,1710930726319
