benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,57145106032,3377159787,1710935087418
movie-lens,53161875297,60605548101,1710935087418
movie-lens,52944250209,113851674422,1710935087418
movie-lens,52840762408,166880217227,1710935087418
movie-lens,52795297034,219801050926,1710935087418
movie-lens,52515829511,272676781613,1710935087418
movie-lens,52536404370,325276982071,1710935087418
movie-lens,52644900030,377889451061,1710935087418
movie-lens,52380379044,430613227676,1710935087418
movie-lens,52355077750,483067606531,1710935087418
movie-lens,52290463486,535506252517,1710935087418
movie-lens,52491035527,587879323881,1710935087418
movie-lens,52388474373,640444777436,1710935087418
movie-lens,52328890349,692912402903,1710935087418
movie-lens,52285806178,745314403761,1710935087418
movie-lens,52315939635,797675276575,1710935087418
movie-lens,52124106610,850063622444,1710935087418
movie-lens,52316430346,902258473298,1710935087418
movie-lens,52328711959,954655972291,1710935087418
movie-lens,52266150074,1007055853504,1710935087418
