benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,52979597447,3187972146,1710936147131
movie-lens,47340581966,56258479018,1710936147131
movie-lens,47035827256,103686457617,1710936147131
movie-lens,46724772505,150815916534,1710936147131
movie-lens,46501096601,197622132882,1710936147131
movie-lens,46542680858,244217382317,1710936147131
movie-lens,46505499609,290853334691,1710936147131
movie-lens,46533056784,337438582018,1710936147131
movie-lens,46505374574,384068709214,1710936147131
movie-lens,46450314479,430650802794,1710936147131
movie-lens,46404351547,477194682816,1710936147131
movie-lens,46490229107,523677057235,1710936147131
movie-lens,46366243022,570245843292,1710936147131
movie-lens,46428501593,616690732829,1710936147131
movie-lens,46384382616,663196757241,1710936147131
movie-lens,46447392184,709655421920,1710936147131
movie-lens,46528128684,756181010206,1710936147131
movie-lens,46450245176,802788729508,1710936147131
movie-lens,46376796518,849314954696,1710936147131
movie-lens,46513769464,895772966287,1710936147131
