benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,53050798280,3334533546,1710938044261
movie-lens,47342421155,56476795412,1710938044261
movie-lens,47031763447,103900861064,1710938044261
movie-lens,46760178852,151020308885,1710938044261
movie-lens,46753119362,197867418458,1710938044261
movie-lens,46719395817,244703994021,1710938044261
movie-lens,46688231946,291501947440,1710938044261
movie-lens,46827150200,338271537106,1710938044261
movie-lens,46670783339,385178930521,1710938044261
movie-lens,46570735472,431931858923,1710938044261
movie-lens,46530134215,478593668888,1710938044261
movie-lens,46497084745,525206237239,1710938044261
movie-lens,46464099839,571783468858,1710938044261
movie-lens,46530961488,618326562710,1710938044261
movie-lens,46502287736,664936017038,1710938044261
movie-lens,46242067453,711520540450,1710938044261
movie-lens,46235689911,757835873505,1710938044261
movie-lens,46335497960,804150854417,1710938044261
movie-lens,46360858665,850558471068,1710938044261
movie-lens,46241084074,896952552069,1710938044261
