benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,52668113528,3258338957,1710939892371
movie-lens,46999728233,56009778591,1710939892371
movie-lens,46602801156,103094674499,1710939892371
movie-lens,46478251416,149778594412,1710939892371
movie-lens,46606176137,196334955935,1710939892371
movie-lens,46658853880,243024326867,1710939892371
movie-lens,46687975686,289765883297,1710939892371
movie-lens,46592008006,336534649784,1710939892371
movie-lens,46554827218,383209860863,1710939892371
movie-lens,46410348834,429847672637,1710939892371
movie-lens,46563360583,476339866648,1710939892371
movie-lens,46374894566,522984277533,1710939892371
movie-lens,46254854131,569442278895,1710939892371
movie-lens,46356995105,615777552811,1710939892371
movie-lens,46320129501,662214393542,1710939892371
movie-lens,46459822196,708617269297,1710939892371
movie-lens,46404766981,755155122038,1710939892371
movie-lens,46399946257,801638704450,1710939892371
movie-lens,46515351019,848116823341,1710939892371
movie-lens,46360149395,894710001855,1710939892371
