benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,53354285058,3219518258,1710941783769
movie-lens,48652169598,56666435351,1710941783769
movie-lens,47970705616,105394919987,1710941783769
movie-lens,46904331002,153447459016,1710941783769
movie-lens,46818733995,200434620788,1710941783769
movie-lens,46831850386,247336724231,1710941783769
movie-lens,46714953899,294247647606,1710941783769
movie-lens,46798100031,341041115906,1710941783769
movie-lens,46655797505,387919128826,1710941783769
movie-lens,46748053134,434655100512,1710941783769
movie-lens,46813386934,481482875182,1710941783769
movie-lens,46797575479,528373453951,1710941783769
movie-lens,46729418640,575249840332,1710941783769
movie-lens,46869828707,622055093235,1710941783769
movie-lens,46650512495,669006565598,1710941783769
movie-lens,46845828612,715734314840,1710941783769
movie-lens,46859897763,762654919006,1710941783769
movie-lens,46727707713,809587096222,1710941783769
movie-lens,46676494708,856387888694,1710941783769
movie-lens,46797190442,903142996670,1710941783769
