benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,53230315038,3273104381,1710944654323
movie-lens,48123852026,56594319575,1710944654323
movie-lens,47927638497,104808639593,1710944654323
movie-lens,47668854013,152830112133,1710944654323
movie-lens,47575033599,200583029619,1710944654323
movie-lens,47559208644,248242172277,1710944654323
movie-lens,47565346384,295895987055,1710944654323
movie-lens,47591891796,343542712562,1710944654323
movie-lens,47578282537,391218872450,1710944654323
movie-lens,47483403595,438879522148,1710944654323
movie-lens,47526383420,486448549639,1710944654323
movie-lens,47460935200,534053962154,1710944654323
movie-lens,47333147454,581595414347,1710944654323
movie-lens,47306137213,629011013610,1710944654323
movie-lens,47344647424,676400668925,1710944654323
movie-lens,47326394317,723829248829,1710944654323
movie-lens,47444295615,771252374720,1710944654323
movie-lens,47298845474,818774883981,1710944654323
movie-lens,47206042990,866156215440,1710944654323
movie-lens,47460510917,913438848513,1710944654323
