benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,52780497107,3424183010,1710948493815
movie-lens,47756799707,56285447064,1710948493815
movie-lens,47324034415,104126707288,1710948493815
movie-lens,47203631982,151541840323,1710948493815
movie-lens,47032235125,198829375358,1710948493815
movie-lens,47179076380,245944221776,1710948493815
movie-lens,47090162892,293207653790,1710948493815
movie-lens,47051374590,340389929491,1710948493815
movie-lens,47075795025,387521182433,1710948493815
movie-lens,46992142400,434686699815,1710948493815
movie-lens,47027916861,481756363547,1710948493815
movie-lens,47138023353,528862375108,1710948493815
movie-lens,46855998119,576088541358,1710948493815
movie-lens,46856439532,623024582048,1710948493815
movie-lens,46809842765,669961262642,1710948493815
movie-lens,46832860069,716849315491,1710948493815
movie-lens,46876577462,763763381316,1710948493815
movie-lens,46735719084,810715779886,1710948493815
movie-lens,46817757234,857534679911,1710948493815
movie-lens,46805596551,904435221209,1710948493815
