benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,52675520018,3177695793,1710947526566
movie-lens,48352621637,55932837856,1710947526566
movie-lens,48116312232,104375568787,1710947526566
movie-lens,47904895160,152582407618,1710947526566
movie-lens,48037072495,200567913766,1710947526566
movie-lens,47896612523,248688665487,1710947526566
movie-lens,47812788906,296667803881,1710947526566
movie-lens,47696335616,344560663344,1710947526566
movie-lens,47683022503,392336576862,1710947526566
movie-lens,47738183688,440103974284,1710947526566
movie-lens,47627898006,487922634241,1710947526566
movie-lens,47609040226,535632186187,1710947526566
movie-lens,47520894699,583322849841,1710947526566
movie-lens,48022715693,630921122253,1710947526566
movie-lens,48540986095,679023730972,1710947526566
movie-lens,47846777935,727640867894,1710947526566
movie-lens,47865116785,775566570334,1710947526566
movie-lens,47835762214,823489503835,1710947526566
movie-lens,47675535932,871360949520,1710947526566
movie-lens,47720321754,919127702558,1710947526566
