benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,11313139699,3673257558,1710961431000
naive-bayes,1323312072,15184933020,1710961431000
naive-bayes,1547744090,16635981102,1710961431000
naive-bayes,1385901370,18340370695,1710961431000
naive-bayes,1164128634,19858494685,1710961431000
naive-bayes,1258086965,21188563052,1710961431000
naive-bayes,1210328752,22593075707,1710961431000
naive-bayes,1154613588,23946427749,1710961431000
naive-bayes,1121059122,25222359224,1710961431000
naive-bayes,1125623817,26462929921,1710961431000
naive-bayes,1122837882,27715604225,1710961431000
naive-bayes,1155819377,28976525988,1710961431000
naive-bayes,1108764209,30257273644,1710961431000
naive-bayes,1120615475,31487449993,1710961431000
naive-bayes,1107631628,32733065205,1710961431000
naive-bayes,1191208404,33961792420,1710961431000
naive-bayes,1119953748,35273900381,1710961431000
naive-bayes,1126064915,36529733959,1710961431000
naive-bayes,1131180958,37776245935,1710961431000
naive-bayes,1180624503,39033239472,1710961431000
naive-bayes,1180402453,40333885023,1710961431000
naive-bayes,1073868036,41632421029,1710961431000
naive-bayes,1087791634,42824160486,1710961431000
naive-bayes,1050164012,44046215452,1710961431000
naive-bayes,1224104629,45220246548,1710961431000
naive-bayes,1086777461,46561147807,1710961431000
naive-bayes,1026812297,47782969570,1710961431000
naive-bayes,1047720853,48938377126,1710961431000
naive-bayes,1049102874,50118543148,1710961431000
naive-bayes,961484333,51297396522,1710961431000
