benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10669516172,3635222497,1710961579189
naive-bayes,1693209617,14369704109,1710961579189
naive-bayes,1167044928,16147637004,1710961579189
naive-bayes,1144421598,17383654092,1710961579189
naive-bayes,915801570,18582127392,1710961579189
naive-bayes,1055250643,19589565449,1710961579189
naive-bayes,967528608,20712408492,1710961579189
naive-bayes,889046075,21731830610,1710961579189
naive-bayes,872624130,22671931340,1710961579189
naive-bayes,825281896,23601522882,1710961579189
naive-bayes,857142587,24472252322,1710961579189
naive-bayes,870494135,25378734499,1710961579189
naive-bayes,879916681,26302897655,1710961579189
naive-bayes,897203089,27226926717,1710961579189
naive-bayes,836175588,28171477633,1710961579189
naive-bayes,822380159,29054344423,1710961579189
naive-bayes,874643620,29920484093,1710961579189
naive-bayes,837965922,30840523459,1710961579189
naive-bayes,813715201,31727628946,1710961579189
naive-bayes,845875519,32585457453,1710961579189
naive-bayes,840848250,33474087381,1710961579189
naive-bayes,812372005,34358539730,1710961579189
naive-bayes,835240538,35217282343,1710961579189
naive-bayes,843495400,36101149608,1710961579189
naive-bayes,839556578,36993069452,1710961579189
naive-bayes,879370241,37877517933,1710961579189
naive-bayes,818439493,38803287677,1710961579189
naive-bayes,856543973,39672367962,1710961579189
naive-bayes,857188263,40580546524,1710961579189
naive-bayes,1087878983,41504360884,1710961579189
