benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10365351789,3655286824,1710961667375
naive-bayes,1141865310,14081302575,1710961667375
naive-bayes,1180755992,15282238057,1710961667375
naive-bayes,1058306726,16519672990,1710961667375
naive-bayes,899381910,17631244449,1710961667375
naive-bayes,912664248,18596715745,1710961667375
naive-bayes,909859671,19569211751,1710961667375
naive-bayes,873255518,20533143669,1710961667375
naive-bayes,848711868,21457646036,1710961667375
naive-bayes,886465028,22359163649,1710961667375
naive-bayes,999446184,23303003949,1710961667375
naive-bayes,880250505,24528945536,1710961667375
naive-bayes,829904703,25469193841,1710961667375
naive-bayes,895717971,26350157966,1710961667375
naive-bayes,871117370,27294205316,1710961667375
naive-bayes,810854678,28216209209,1710961667375
naive-bayes,871577932,29078118040,1710961667375
naive-bayes,866067270,30005537649,1710961667375
naive-bayes,860353565,30926254544,1710961667375
naive-bayes,802695201,31839563045,1710961667375
naive-bayes,839606244,32695980792,1710961667375
naive-bayes,809270328,33589145086,1710961667375
naive-bayes,816472562,34451294365,1710961667375
naive-bayes,951799798,35325550174,1710961667375
naive-bayes,890777149,36390708233,1710961667375
naive-bayes,818686267,37333011847,1710961667375
naive-bayes,816740796,38204133769,1710961667375
naive-bayes,829470902,39079131344,1710961667375
naive-bayes,903392808,39975507579,1710961667375
naive-bayes,783675379,40940077432,1710961667375
