benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10461951620,3688561105,1710961799158
naive-bayes,1442294730,14222732257,1710961799158
naive-bayes,1388673405,15780632818,1710961799158
naive-bayes,1103056518,17223347859,1710961799158
naive-bayes,974574431,18380140805,1710961799158
naive-bayes,966672343,19429958882,1710961799158
naive-bayes,904751446,20461905412,1710961799158
naive-bayes,959991362,21424723801,1710961799158
naive-bayes,914528327,22439445448,1710961799158
naive-bayes,889240279,23410257619,1710961799158
naive-bayes,970912718,24446074355,1710961799158
naive-bayes,866673351,25470326708,1710961799158
naive-bayes,850916882,26388425733,1710961799158
naive-bayes,906052201,27288709318,1710961799158
naive-bayes,871885463,28243173930,1710961799158
naive-bayes,825031090,29162203006,1710961799158
naive-bayes,832762297,30036435439,1710961799158
naive-bayes,849313590,30923443100,1710961799158
naive-bayes,896642483,31827245052,1710961799158
naive-bayes,855993745,32769771448,1710961799158
naive-bayes,843804889,33673566352,1710961799158
naive-bayes,831374329,34564698320,1710961799158
naive-bayes,840198670,35442707183,1710961799158
naive-bayes,857658820,36336373071,1710961799158
naive-bayes,833558759,37243033285,1710961799158
naive-bayes,803653513,38120920874,1710961799158
naive-bayes,866008599,38968882635,1710961799158
naive-bayes,846885285,39889626400,1710961799158
naive-bayes,1007465912,40810224860,1710961799158
naive-bayes,900766575,41879497878,1710961799158
