benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10351205523,3653141245,1710961995532
naive-bayes,1170823600,14145624730,1710961995532
naive-bayes,1275818986,15434994455,1710961995532
naive-bayes,1147892650,16841666749,1710961995532
naive-bayes,871182552,18114526599,1710961995532
naive-bayes,934544328,19126069534,1710961995532
naive-bayes,935149119,20185793262,1710961995532
naive-bayes,920799457,21243664122,1710961995532
naive-bayes,917670059,22244027199,1710961995532
naive-bayes,963518085,23294877997,1710961995532
naive-bayes,922359738,24379000761,1710961995532
naive-bayes,890480096,25437181672,1710961995532
naive-bayes,893640528,26459171682,1710961995532
naive-bayes,909099848,27487061027,1710961995532
naive-bayes,905781783,28511296940,1710961995532
naive-bayes,884929756,29535843854,1710961995532
naive-bayes,852840461,30556893863,1710961995532
naive-bayes,879100267,31527835567,1710961995532
naive-bayes,853353140,32525887389,1710961995532
naive-bayes,844407575,33499466295,1710961995532
naive-bayes,821187929,34466417299,1710961995532
naive-bayes,812478371,35404858347,1710961995532
naive-bayes,863656756,36337241174,1710961995532
naive-bayes,850745929,37322428853,1710961995532
naive-bayes,859740772,38310757091,1710961995532
naive-bayes,1131424585,39295569023,1710961995532
naive-bayes,920688754,40547499608,1710961995532
naive-bayes,913269105,41617720453,1710961995532
naive-bayes,947023699,42658529017,1710961995532
naive-bayes,836736465,43731729260,1710961995532
