benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10378013159,3712299573,1710961842142
naive-bayes,1215993511,14148904358,1710961842142
naive-bayes,1274254992,15415846977,1710961842142
naive-bayes,1176090539,16738191320,1710961842142
naive-bayes,986091990,17958543345,1710961842142
naive-bayes,1011620856,19012590572,1710961842142
naive-bayes,1407045761,20071555345,1710961842142
naive-bayes,1063749040,21523187086,1710961842142
naive-bayes,977476340,22626188180,1710961842142
naive-bayes,908297450,23641612548,1710961842142
naive-bayes,994027956,24590928153,1710961842142
naive-bayes,1006667886,25621369273,1710961842142
naive-bayes,939356151,26668847338,1710961842142
naive-bayes,937514769,27647186465,1710961842142
naive-bayes,1063636127,28631716165,1710961842142
naive-bayes,915708989,29732352969,1710961842142
naive-bayes,921906938,30684697279,1710961842142
naive-bayes,925138640,31648537641,1710961842142
naive-bayes,917452714,32612767800,1710961842142
naive-bayes,936789837,33567593487,1710961842142
naive-bayes,904220378,34545155564,1710961842142
naive-bayes,904249737,35487609479,1710961842142
naive-bayes,895784699,36429584678,1710961842142
naive-bayes,913647018,37365962157,1710961842142
naive-bayes,934117281,38318977011,1710961842142
naive-bayes,882784512,39290972126,1710961842142
naive-bayes,959832682,40211806126,1710961842142
naive-bayes,1079349904,41229214574,1710961842142
naive-bayes,956987583,42357146536,1710961842142
naive-bayes,1029000486,43363996158,1710961842142
