benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,12023061034,3673581043,1710961886717
naive-bayes,1510316021,15793424727,1710961886717
naive-bayes,1989361115,17459876194,1710961886717
naive-bayes,1539207031,19621290444,1710961886717
naive-bayes,1431089017,21322748388,1710961886717
naive-bayes,1521589442,22912234495,1710961886717
naive-bayes,1471752636,24575235257,1710961886717
naive-bayes,1393612850,26179324594,1710961886717
naive-bayes,1447181904,27709310843,1710961886717
naive-bayes,1344468446,29292701945,1710961886717
naive-bayes,1402037236,30768444505,1710961886717
naive-bayes,1415175008,32306893545,1710961886717
naive-bayes,1351556189,33859947645,1710961886717
naive-bayes,1382849780,35344946840,1710961886717
naive-bayes,1476937653,36858572162,1710961886717
naive-bayes,1402845752,38468834714,1710961886717
naive-bayes,1439376477,40002913050,1710961886717
naive-bayes,1635680013,41582301294,1710961886717
naive-bayes,1467198995,43356703034,1710961886717
naive-bayes,1445664981,44981582385,1710961886717
naive-bayes,1409138181,46556494880,1710961886717
naive-bayes,1403047627,48118359089,1710961886717
naive-bayes,1432708724,49656738267,1710961886717
naive-bayes,1447831516,51221936196,1710961886717
naive-bayes,1398078423,52821246064,1710961886717
naive-bayes,1411077437,54349537525,1710961886717
naive-bayes,1377000879,55893226829,1710961886717
naive-bayes,1404415768,57411356471,1710961886717
naive-bayes,1358397776,58958453838,1710961886717
naive-bayes,1375851998,60455508407,1710961886717
