benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10637218827,4111863464,1710961948744
naive-bayes,1070649820,14832900501,1710961948744
naive-bayes,1306143919,16071913614,1710961948744
naive-bayes,1131600878,17522617058,1710961948744
naive-bayes,968945460,18797393477,1710961948744
naive-bayes,1019201654,19912445287,1710961948744
naive-bayes,1007709865,21076905844,1710961948744
naive-bayes,962009964,22209141041,1710961948744
naive-bayes,969853549,23294945993,1710961948744
naive-bayes,906804254,24384691618,1710961948744
naive-bayes,963027231,25411025929,1710961948744
naive-bayes,951260497,26496963575,1710961948744
naive-bayes,959288201,27581316730,1710961948744
naive-bayes,936949945,28655033785,1710961948744
naive-bayes,913864571,29705975894,1710961948744
naive-bayes,982563957,30739306979,1710961948744
naive-bayes,942756548,31843099050,1710961948744
naive-bayes,934205883,32903412727,1710961948744
naive-bayes,912210671,33957257847,1710961948744
naive-bayes,904707549,34984323527,1710961948744
naive-bayes,902668663,36019098393,1710961948744
naive-bayes,892340625,37037506143,1710961948744
naive-bayes,951246308,38050304559,1710961948744
naive-bayes,1151164059,39144468426,1710961948744
naive-bayes,964246401,40420306092,1710961948744
naive-bayes,995482429,41499774974,1710961948744
naive-bayes,875859151,42608516109,1710961948744
naive-bayes,879758761,43607074987,1710961948744
naive-bayes,975183494,44630272766,1710961948744
naive-bayes,855007146,45734647861,1710961948744
