benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10402283254,3786816731,1710962342507
naive-bayes,1405141329,14247708633,1710962342507
naive-bayes,1346786361,15777853954,1710962342507
naive-bayes,990398764,17168063992,1710962342507
naive-bayes,827376827,18203750061,1710962342507
naive-bayes,920161213,19135482111,1710962342507
naive-bayes,812125530,20102933469,1710962342507
naive-bayes,814374353,20959579351,1710962342507
naive-bayes,888644172,21816639750,1710962342507
naive-bayes,762902256,22760492497,1710962342507
naive-bayes,872727286,23564701468,1710962342507
naive-bayes,824166927,24626417407,1710962342507
naive-bayes,1188484411,25492083294,1710962342507
naive-bayes,938129495,26721849113,1710962342507
naive-bayes,773529613,27696667396,1710962342507
naive-bayes,755402391,28508062063,1710962342507
naive-bayes,817159023,29311477482,1710962342507
naive-bayes,791608933,30167264304,1710962342507
naive-bayes,780348086,31001807778,1710962342507
naive-bayes,744218084,31822644315,1710962342507
naive-bayes,756914059,32604922826,1710962342507
naive-bayes,762532539,33399728186,1710962342507
naive-bayes,749087297,34200324450,1710962342507
naive-bayes,764987078,34990643890,1710962342507
naive-bayes,744900963,35799365639,1710962342507
naive-bayes,734755595,36583200034,1710962342507
naive-bayes,756851948,37355098791,1710962342507
naive-bayes,761180163,38153772766,1710962342507
naive-bayes,728743919,38963545589,1710962342507
naive-bayes,751069954,39743568687,1710962342507
