benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10518654988,3622351156,1710962299850
naive-bayes,1144868236,14203845163,1710962299850
naive-bayes,1128417712,15396613889,1710962299850
naive-bayes,1069559850,16568462570,1710962299850
naive-bayes,1048232622,17697413879,1710962299850
naive-bayes,978731000,18806917543,1710962299850
naive-bayes,933752009,19833198075,1710962299850
naive-bayes,1051537495,20816653110,1710962299850
naive-bayes,921909584,21911603971,1710962299850
naive-bayes,882154819,22889081863,1710962299850
naive-bayes,934143020,23814193275,1710962299850
naive-bayes,891347887,24790366274,1710962299850
naive-bayes,922152412,25759996002,1710962299850
naive-bayes,960282280,26723412442,1710962299850
naive-bayes,922382298,27720189134,1710962299850
naive-bayes,887279574,28684254167,1710962299850
naive-bayes,903315026,29616444450,1710962299850
naive-bayes,918763858,30558878270,1710962299850
naive-bayes,854752405,31521929744,1710962299850
naive-bayes,889589397,32418461230,1710962299850
naive-bayes,866169897,33347484012,1710962299850
naive-bayes,873448908,34250922751,1710962299850
naive-bayes,880434366,35163005530,1710962299850
naive-bayes,879518969,36086943828,1710962299850
naive-bayes,854532427,37008816099,1710962299850
naive-bayes,857217588,37901626022,1710962299850
naive-bayes,856041492,38795978907,1710962299850
naive-bayes,984486601,39699717995,1710962299850
naive-bayes,862747143,40737660339,1710962299850
naive-bayes,841605823,41651633640,1710962299850
