benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,9965151228,3687760589,1710962383150
naive-bayes,1020925655,13734666321,1710962383150
naive-bayes,1143494150,14888615086,1710962383150
naive-bayes,1060441888,16170938631,1710962383150
naive-bayes,997949102,17369431916,1710962383150
naive-bayes,989278257,18513164750,1710962383150
naive-bayes,965684723,19634490697,1710962383150
naive-bayes,989041068,20742275015,1710962383150
naive-bayes,1014872117,21859226227,1710962383150
naive-bayes,903614686,23187543217,1710962383150
naive-bayes,928388875,24232597472,1710962383150
naive-bayes,876675785,25284200828,1710962383150
naive-bayes,990121349,26289140108,1710962383150
naive-bayes,939899648,27445074144,1710962383150
naive-bayes,908160911,28523362696,1710962383150
naive-bayes,850444307,29559444889,1710962383150
naive-bayes,850175760,30550912276,1710962383150
naive-bayes,820176846,31522707844,1710962383150
naive-bayes,828349986,32469281525,1710962383150
naive-bayes,819344321,33419566403,1710962383150
naive-bayes,835214174,34364392021,1710962383150
naive-bayes,804052205,35336748042,1710962383150
naive-bayes,814123743,36265648205,1710962383150
naive-bayes,836039894,37203793629,1710962383150
naive-bayes,821712288,38179840975,1710962383150
naive-bayes,827709142,39123841288,1710962383150
naive-bayes,867285982,40071950743,1710962383150
naive-bayes,1086062712,41074596987,1710962383150
naive-bayes,892158615,42308037266,1710962383150
naive-bayes,832424945,43333970944,1710962383150
