benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10081764189,3922354181,1710962473736
naive-bayes,1285825822,14105239739,1710962473736
naive-bayes,1184272027,15509702645,1710962473736
naive-bayes,1120351276,16814420142,1710962473736
naive-bayes,1076107015,18114975339,1710962473736
naive-bayes,1078563325,19298291929,1710962473736
naive-bayes,1445545473,20483184502,1710962473736
naive-bayes,1023376850,22022328499,1710962473736
naive-bayes,1009315717,23138503755,1710962473736
naive-bayes,944608817,24245821635,1710962473736
naive-bayes,973717493,25283362107,1710962473736
naive-bayes,979034804,26346406150,1710962473736
naive-bayes,962617922,27416477098,1710962473736
naive-bayes,1010566045,28465781162,1710962473736
naive-bayes,958428330,29561199511,1710962473736
naive-bayes,906862840,30607306565,1710962473736
naive-bayes,962304370,31602993956,1710962473736
naive-bayes,987682326,32654717671,1710962473736
naive-bayes,954262719,33729905251,1710962473736
naive-bayes,1065727829,34770285527,1710962473736
naive-bayes,925816355,35920248982,1710962473736
naive-bayes,921008499,36930566577,1710962473736
naive-bayes,914867716,37934924191,1710962473736
naive-bayes,951765825,38941016152,1710962473736
naive-bayes,897466551,39978031735,1710962473736
naive-bayes,994143716,40960621444,1710962473736
naive-bayes,1347886782,42061280045,1710962473736
naive-bayes,1007022021,43512862453,1710962473736
naive-bayes,911965249,44628330718,1710962473736
naive-bayes,867239851,45635426000,1710962473736
