benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10033320639,3799708328,1710962520425
naive-bayes,919726968,13891031072,1710962520425
naive-bayes,980068039,14866464812,1710962520425
naive-bayes,969714663,15893705800,1710962520425
naive-bayes,831783123,16916254823,1710962520425
naive-bayes,839974361,17820065201,1710962520425
naive-bayes,848968290,18724894077,1710962520425
naive-bayes,801139707,19625111241,1710962520425
naive-bayes,828923658,20477234221,1710962520425
naive-bayes,783819794,21355739747,1710962520425
naive-bayes,789505462,22186473914,1710962520425
naive-bayes,857910526,23025404606,1710962520425
naive-bayes,906731824,24066375508,1710962520425
naive-bayes,791863239,25018753042,1710962520425
naive-bayes,866243547,25855628048,1710962520425
naive-bayes,803851585,26798149022,1710962520425
naive-bayes,779915753,27648434376,1710962520425
naive-bayes,789119838,28475306023,1710962520425
naive-bayes,781580411,29312419252,1710962520425
naive-bayes,748585608,30137525175,1710962520425
naive-bayes,778391442,30928730489,1710962520425
naive-bayes,763287136,31749751635,1710962520425
naive-bayes,786126958,32557006925,1710962520425
naive-bayes,789376494,33386941005,1710962520425
naive-bayes,758261613,34221116618,1710962520425
naive-bayes,764730226,35031853303,1710962520425
naive-bayes,762374093,35841020366,1710962520425
naive-bayes,813046736,36668068668,1710962520425
naive-bayes,740848891,37536400769,1710962520425
naive-bayes,734852026,38328813409,1710962520425
