benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10324506563,4192641984,1710962645802
naive-bayes,1246842432,14670780476,1710962645802
naive-bayes,1197544671,16070414378,1710962645802
naive-bayes,1074142989,17421138291,1710962645802
naive-bayes,915031053,18625036712,1710962645802
naive-bayes,914166203,19682752922,1710962645802
naive-bayes,945870889,20737347355,1710962645802
naive-bayes,889077327,21809138779,1710962645802
naive-bayes,891775215,22824887828,1710962645802
naive-bayes,961900202,23861981725,1710962645802
naive-bayes,1007232416,24949749311,1710962645802
naive-bayes,899403931,26079526118,1710962645802
naive-bayes,870024225,27104008550,1710962645802
naive-bayes,873039838,28095509094,1710962645802
naive-bayes,863522570,29108075270,1710962645802
naive-bayes,843923234,30101006192,1710962645802
naive-bayes,847403936,31069613250,1710962645802
naive-bayes,881878711,32043292851,1710962645802
naive-bayes,830224053,33050101221,1710962645802
naive-bayes,896603295,33999946651,1710962645802
naive-bayes,1139283173,35025340138,1710962645802
naive-bayes,892890751,36288794864,1710962645802
naive-bayes,891118684,37308137493,1710962645802
naive-bayes,853733836,38329969460,1710962645802
naive-bayes,806392856,39302429167,1710962645802
naive-bayes,817181112,40227318209,1710962645802
naive-bayes,818455122,41162887290,1710962645802
naive-bayes,829691953,42124414732,1710962645802
naive-bayes,824501453,43086301313,1710962645802
naive-bayes,794194550,44059275593,1710962645802
