benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10160286767,3771823776,1710962733369
naive-bayes,1347681113,14008375702,1710962733369
naive-bayes,1319548501,15420631226,1710962733369
naive-bayes,995222649,16804262318,1710962733369
naive-bayes,886114440,17851168195,1710962733369
naive-bayes,852716864,18796452929,1710962733369
naive-bayes,853752781,19710289041,1710962733369
naive-bayes,918122693,20610185524,1710962733369
naive-bayes,823575473,21569119158,1710962733369
naive-bayes,816409347,22436639697,1710962733369
naive-bayes,898102372,23294047042,1710962733369
naive-bayes,864339122,24342566495,1710962733369
naive-bayes,822271175,25249865970,1710962733369
naive-bayes,815892291,26108618334,1710962733369
naive-bayes,852934526,26961692226,1710962733369
naive-bayes,867162918,28008215008,1710962733369
naive-bayes,797733612,28916897667,1710962733369
naive-bayes,774213749,29758579100,1710962733369
naive-bayes,799445610,30574283024,1710962733369
naive-bayes,771223568,31412000669,1710962733369
naive-bayes,761118232,32226780704,1710962733369
naive-bayes,760252250,33026050046,1710962733369
naive-bayes,784442649,33823186278,1710962733369
naive-bayes,750801228,34647058832,1710962733369
naive-bayes,744943512,35435261991,1710962733369
naive-bayes,743729066,36249792097,1710962733369
naive-bayes,755247941,37066048318,1710962733369
naive-bayes,858382981,37901890791,1710962733369
naive-bayes,725786198,38841087600,1710962733369
naive-bayes,736437136,39649584029,1710962733369
