benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10719137805,3630845512,1710962820394
naive-bayes,1508841151,14508552465,1710962820394
naive-bayes,1453353869,16076581802,1710962820394
naive-bayes,1383243687,17632897206,1710962820394
naive-bayes,975098298,19106759641,1710962820394
naive-bayes,972387539,20179015585,1710962820394
naive-bayes,1003502310,21244677125,1710962820394
naive-bayes,939756587,22337185392,1710962820394
naive-bayes,916305992,23356126679,1710962820394
naive-bayes,905052764,24352031679,1710962820394
naive-bayes,985715935,25331984495,1710962820394
naive-bayes,886715556,26391853085,1710962820394
naive-bayes,876454348,27353106628,1710962820394
naive-bayes,899193389,28303733346,1710962820394
naive-bayes,909458558,29280003711,1710962820394
naive-bayes,883278745,30261976243,1710962820394
naive-bayes,915627107,31219085297,1710962820394
naive-bayes,866827121,32211901535,1710962820394
naive-bayes,888403317,33161171570,1710962820394
naive-bayes,866965303,34129004690,1710962820394
naive-bayes,875641564,35066779076,1710962820394
naive-bayes,876259728,36015032661,1710962820394
naive-bayes,857825939,36974872502,1710962820394
naive-bayes,867098183,37905499336,1710962820394
naive-bayes,845858587,38843339400,1710962820394
naive-bayes,846485140,39759091182,1710962820394
naive-bayes,870353808,40678067489,1710962820394
naive-bayes,889017649,41624273167,1710962820394
naive-bayes,838505011,42602563380,1710962820394
naive-bayes,1074685492,43532314223,1710962820394
