benchmark,duration_ns,uptime_ns,vm_start_unix_ms
naive-bayes,10706436900,3643728963,1710962773909
naive-bayes,1215947485,14409202458,1710962773909
naive-bayes,1289704746,15679751299,1710962773909
naive-bayes,1136969217,17017586449,1710962773909
naive-bayes,1064990843,18197324737,1710962773909
naive-bayes,1050943518,19316232437,1710962773909
naive-bayes,1069414492,20425048554,1710962773909
naive-bayes,1074336636,21539950254,1710962773909
naive-bayes,1083904156,22654828886,1710962773909
naive-bayes,1010840091,23777608903,1710962773909
naive-bayes,1046665073,24830302357,1710962773909
naive-bayes,1048408975,25918032737,1710962773909
naive-bayes,1053139531,27006767078,1710962773909
naive-bayes,1420789526,28098542554,1710962773909
naive-bayes,1007030524,29558448937,1710962773909
naive-bayes,1008256100,30602646777,1710962773909
naive-bayes,1032749339,31651749640,1710962773909
naive-bayes,1038216923,32723216170,1710962773909
naive-bayes,998279102,33797352152,1710962773909
naive-bayes,1016805085,34834290807,1710962773909
naive-bayes,999989835,35888941411,1710962773909
naive-bayes,961306834,36928078590,1710962773909
naive-bayes,991204745,37928961156,1710962773909
naive-bayes,994346620,38959943181,1710962773909
naive-bayes,993956039,39991604289,1710962773909
naive-bayes,972614556,41023156114,1710962773909
naive-bayes,984087512,42033302566,1710962773909
naive-bayes,995452609,43062241204,1710962773909
naive-bayes,1127510428,44124579057,1710962773909
naive-bayes,1000379448,45302240813,1710962773909
