benchmark,duration_ns,uptime_ns,vm_start_unix_ms
page-rank,5824744057,4717652632,1710908832690
page-rank,2483791569,12127320032,1710908832690
page-rank,2375235802,15983272758,1710908832690
page-rank,2323088953,19653553383,1710908832690
page-rank,2267004706,23310154526,1710908832690
page-rank,2195422712,26675844657,1710908832690
page-rank,2236089149,29955197092,1710908832690
page-rank,2259872875,33263697926,1710908832690
page-rank,2188848283,36748556081,1710908832690
page-rank,2150018119,40077342413,1710908832690
page-rank,2120767897,43456957236,1710908832690
page-rank,2112800983,46744228585,1710908832690
page-rank,2088437723,50011966887,1710908832690
page-rank,2130408031,53151719037,1710908832690
page-rank,2136909876,56413802278,1710908832690
page-rank,2154450130,59701692337,1710908832690
page-rank,2119577208,62992383180,1710908832690
page-rank,2123067532,66246510282,1710908832690
page-rank,2149716595,69472733505,1710908832690
page-rank,2137176431,72794387402,1710908832690
