benchmark,duration_ns,uptime_ns,vm_start_unix_ms
page-rank,5868984574,4267105439,1710909141151
page-rank,2446188854,11709579739,1710909141151
page-rank,2432992026,15398284341,1710909141151
page-rank,2307950885,19155145351,1710909141151
page-rank,2342215255,22690811583,1710909141151
page-rank,2176232934,26192144880,1710909141151
page-rank,2092525825,29515046743,1710909141151
page-rank,2113739092,32678380224,1710909141151
page-rank,2124156473,35914933406,1710909141151
page-rank,2074851019,39177715582,1710909141151
page-rank,2049382756,42355640729,1710909141151
page-rank,2075703551,45544718833,1710909141151
page-rank,2062286290,48657637051,1710909141151
page-rank,2076121186,51800703153,1710909141151
page-rank,2069977899,54959648529,1710909141151
page-rank,2138919014,58139667713,1710909141151
page-rank,2170574173,61390165830,1710909141151
page-rank,2178490775,64744953251,1710909141151
page-rank,2165340451,68028149266,1710909141151
page-rank,2119770474,71306086300,1710909141151
