benchmark,duration_ns,uptime_ns,vm_start_unix_ms
page-rank,6023384484,4086466490,1710909066613
page-rank,2579640836,11941700456,1710909066613
page-rank,2389194817,15805625714,1710909066613
page-rank,2249680137,19371176382,1710909066613
page-rank,2289021711,22969923350,1710909066613
page-rank,2189594680,26495810412,1710909066613
page-rank,2143745826,29865363421,1710909066613
page-rank,2163374861,33146394185,1710909066613
page-rank,2089170149,36464624696,1710909066613
page-rank,2141517392,39694720247,1710909066613
page-rank,2205660869,42968420388,1710909066613
page-rank,2076416371,46299431450,1710909066613
page-rank,2060232787,49393684776,1710909066613
page-rank,2035356405,52513476525,1710909066613
page-rank,2060161939,55617647279,1710909066613
page-rank,2084399901,58775708071,1710909066613
page-rank,2053038417,61984353082,1710909066613
page-rank,2045591982,65073131706,1710909066613
page-rank,2086184555,68206232320,1710909066613
page-rank,2043115721,71413777720,1710909066613
