benchmark,duration_ns,uptime_ns,vm_start_unix_ms
page-rank,6368748109,3861563402,1710909215665
page-rank,2779516945,11956742627,1710909215665
page-rank,2602021106,16204313267,1710909215665
page-rank,2504195284,20122185997,1710909215665
page-rank,2391707054,24085663821,1710909215665
page-rank,2839048211,27844791726,1710909215665
page-rank,2215497474,31796099852,1710909215665
page-rank,2227772339,35101233082,1710909215665
page-rank,2241028879,38533599536,1710909215665
page-rank,2217980666,41866389714,1710909215665
page-rank,2229202731,45179458682,1710909215665
page-rank,2206438443,48527493939,1710909215665
page-rank,2161885646,51986757806,1710909215665
page-rank,2119702241,55181058902,1710909215665
page-rank,2106820372,58402618791,1710909215665
page-rank,2106896183,61611821916,1710909215665
page-rank,2127803499,64798544486,1710909215665
page-rank,2097219216,67992733805,1710909215665
page-rank,2114982552,71167622396,1710909215665
page-rank,2152087293,74371123876,1710909215665
