benchmark,duration_ns,uptime_ns,vm_start_unix_ms
page-rank,6479325539,3912000279,1710909450153
page-rank,2707407400,12129631209,1710909450153
page-rank,2489634192,16260252836,1710909450153
page-rank,2428862549,20195736596,1710909450153
page-rank,2301869163,24041970124,1710909450153
page-rank,2134830224,27559095578,1710909450153
page-rank,2075399963,30763026463,1710909450153
page-rank,2092228984,33897334304,1710909450153
page-rank,2047943743,37126097571,1710909450153
page-rank,2064139692,40208560364,1710909450153
page-rank,2006297136,43301570131,1710909450153
page-rank,1991398653,46432247522,1710909450153
page-rank,2059983488,49423492825,1710909450153
page-rank,1980906783,52523507886,1710909450153
page-rank,2002691493,55559944610,1710909450153
page-rank,2005042204,58660281870,1710909450153
page-rank,1977439102,61794859754,1710909450153
page-rank,1970128930,64875660131,1710909450153
page-rank,1986590117,67873524717,1710909450153
page-rank,1970634575,70991138881,1710909450153
