benchmark,duration_ns,uptime_ns,vm_start_unix_ms
page-rank,5693169888,4019529194,1710909755101
page-rank,2633861754,11397056026,1710909755101
page-rank,2618942315,15508433283,1710909755101
page-rank,2514826633,19695139301,1710909755101
page-rank,2424683992,23605964718,1710909755101
page-rank,2258943678,27196546374,1710909755101
page-rank,2200976204,30511390983,1710909755101
page-rank,2145922319,33814360224,1710909755101
page-rank,2231789825,37081385882,1710909755101
page-rank,2147084058,40450864138,1710909755101
page-rank,2165575582,43621857461,1710909755101
page-rank,2157717521,46907970223,1710909755101
page-rank,2162673765,50110342198,1710909755101
page-rank,2147696506,53309079777,1710909755101
page-rank,2125337205,56524628844,1710909755101
page-rank,2155322776,59793916687,1710909755101
page-rank,2145304407,63045077455,1710909755101
page-rank,2153650267,66241813369,1710909755101
page-rank,2156102572,69409088482,1710909755101
page-rank,2126589218,72657306485,1710909755101
