benchmark,duration_ns,uptime_ns,vm_start_unix_ms
page-rank,6254632822,4101546453,1710910132625
page-rank,2724038225,11959104975,1710910132625
page-rank,2491129826,16145497156,1710910132625
page-rank,2433324652,20070977641,1710910132625
page-rank,2262060327,24061897050,1710910132625
page-rank,2188243865,27424741313,1710910132625
page-rank,2122282979,30768374981,1710910132625
page-rank,2248152883,33960899508,1710910132625
page-rank,2175341788,37372169613,1710910132625
page-rank,2203306571,40735246790,1710910132625
page-rank,2110407266,44010706726,1710910132625
page-rank,2102596696,47240510704,1710910132625
page-rank,2131459836,50427472953,1710910132625
page-rank,2115787144,53718194945,1710910132625
page-rank,2120523482,56944192216,1710910132625
page-rank,2122183524,60192572159,1710910132625
page-rank,2105503473,63519069566,1710910132625
page-rank,2123306152,66772895618,1710910132625
page-rank,2120208316,69974476221,1710910132625
page-rank,2103626274,73223821412,1710910132625
