benchmark,duration_ns,uptime_ns,vm_start_unix_ms
page-rank,5741504249,3939464158,1710910355218
page-rank,2586034257,11311579295,1710910355218
page-rank,2530810922,15304087511,1710910355218
page-rank,2237239698,19167352035,1710910355218
page-rank,2175999124,22809869802,1710910355218
page-rank,2197228867,26098695415,1710910355218
page-rank,1980881737,29383672296,1710910355218
page-rank,2161340737,32514331947,1710910355218
page-rank,2025661805,35768121937,1710910355218
page-rank,1984579272,38885198459,1710910355218
page-rank,1953632913,41828007130,1710910355218
page-rank,1947551826,44846807378,1710910355218
page-rank,1957875052,47755014134,1710910355218
page-rank,1968752198,50700788405,1710910355218
page-rank,1955104138,53714624375,1710910355218
page-rank,2001034153,56715076906,1710910355218
page-rank,1972972038,59852726615,1710910355218
page-rank,1962122403,62881251545,1710910355218
page-rank,1958996074,65825462984,1710910355218
page-rank,1941477343,68861548144,1710910355218
