benchmark,duration_ns,uptime_ns,vm_start_unix_ms
page-rank,5626153036,3746524691,1710910427079
page-rank,2624521320,10968933802,1710910427079
page-rank,2390086050,15013049080,1710910427079
page-rank,2402312982,18720416120,1710910427079
page-rank,2323741345,22575555385,1710910427079
page-rank,2187033619,26162713062,1710910427079
page-rank,2053876123,29452789221,1710910427079
page-rank,2074615565,32565949643,1710910427079
page-rank,2073484388,35800464236,1710910427079
page-rank,2028422490,38953361768,1710910427079
page-rank,2100539708,42003521446,1710910427079
page-rank,2014869004,45219132118,1710910427079
page-rank,2040858819,48279118570,1710910427079
page-rank,2012501997,51408696942,1710910427079
page-rank,2020469722,54454294128,1710910427079
page-rank,2028710237,57602502438,1710910427079
page-rank,2026983454,60729320824,1710910427079
page-rank,2024170429,63817140579,1710910427079
page-rank,2020733360,66868411024,1710910427079
page-rank,2011583226,69934468144,1710910427079
