benchmark,duration_ns,uptime_ns,vm_start_unix_ms
page-rank,5637508761,4111724246,1710910932169
page-rank,2372689234,11217696579,1710910932169
page-rank,2338879589,14856458142,1710910932169
page-rank,2184165411,18456907369,1710910932169
page-rank,2230523641,21834582772,1710910932169
page-rank,2097373109,25325221618,1710910932169
page-rank,2034247428,28507021654,1710910932169
page-rank,2010453616,31610776822,1710910932169
page-rank,2061674682,34668629359,1710910932169
page-rank,2002461996,37771557765,1710910932169
page-rank,1994994407,40863547318,1710910932169
page-rank,2012155486,44004763917,1710910932169
page-rank,1991299565,47047630616,1710910932169
page-rank,2022902675,50056588834,1710910932169
page-rank,1983181687,53097635591,1710910932169
page-rank,1999570135,56218185332,1710910932169
page-rank,1987682532,59337462277,1710910932169
page-rank,1968939570,62402864033,1710910932169
page-rank,1989384037,65384027535,1710910932169
page-rank,1984353775,68457465864,1710910932169
