benchmark,duration_ns,uptime_ns,vm_start_unix_ms
page-rank,6188598881,3881001885,1710911163187
page-rank,2525661974,11717062788,1710911163187
page-rank,2467941560,15678365668,1710911163187
page-rank,2291676250,19504452190,1710911163187
page-rank,2419244316,23184958714,1710911163187
page-rank,1996586645,26787432108,1710911163187
page-rank,1976474414,29817283927,1710911163187
page-rank,2091515504,32823175933,1710911163187
page-rank,2040418971,36057575013,1710911163187
page-rank,1976753521,39134501566,1710911163187
page-rank,1954113371,42119397647,1710911163187
page-rank,1923142490,45173533682,1710911163187
page-rank,1941756582,48059804948,1710911163187
page-rank,1928991310,51008554749,1710911163187
page-rank,1949398933,53975785093,1710911163187
page-rank,1951383326,57004701731,1710911163187
page-rank,2005088100,60054492190,1710911163187
page-rank,1919712920,63069557687,1710911163187
page-rank,1920974937,66013947632,1710911163187
page-rank,1921226717,68988545379,1710911163187
