benchmark,duration_ns,uptime_ns,vm_start_unix_ms
page-rank,6731861528,4426920302,1710911075538
page-rank,3048834292,12849457550,1710911075538
page-rank,2888059407,17363430656,1710911075538
page-rank,2809865787,21668893595,1710911075538
page-rank,2636690192,25918125882,1710911075538
page-rank,2564759913,29848527189,1710911075538
page-rank,2571563327,33679751196,1710911075538
page-rank,2588400817,37521527865,1710911075538
page-rank,2569009987,41385093059,1710911075538
page-rank,2562477163,45278422388,1710911075538
page-rank,2563084856,49133396207,1710911075538
page-rank,2553262677,53080072642,1710911075538
page-rank,2600590013,56861151106,1710911075538
page-rank,2550431059,60713530837,1710911075538
page-rank,2549733093,64556177821,1710911075538
page-rank,2567020511,68430832393,1710911075538
page-rank,2541016598,72355733584,1710911075538
page-rank,2550322806,76170302056,1710911075538
page-rank,2542739414,79957637252,1710911075538
page-rank,2576384144,83781916164,1710911075538
