benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,3176920059,288077164,1711103663831
par-mnemonics,2445046076,3707889653,1711103663831
par-mnemonics,2244921576,6337938768,1711103663831
par-mnemonics,1863161021,8769505200,1711103663831
par-mnemonics,1769872491,10774804254,1711103663831
par-mnemonics,1988627119,12703505007,1711103663831
par-mnemonics,1700209431,14829029551,1711103663831
par-mnemonics,1853064520,16654515881,1711103663831
par-mnemonics,1680601523,18647253741,1711103663831
par-mnemonics,1809371693,20451898067,1711103663831
par-mnemonics,1682324094,22384576307,1711103663831
par-mnemonics,1695075962,24193370152,1711103663831
par-mnemonics,1844141083,26022557506,1711103663831
par-mnemonics,1806189088,27994504932,1711103663831
par-mnemonics,1863007136,29928505706,1711103663831
par-mnemonics,1911034527,31918186669,1711103663831
