benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,3175499241,289296418,1711103731426
par-mnemonics,2292449494,3664395876,1711103731426
par-mnemonics,2384969691,6116521245,1711103731426
par-mnemonics,2060490823,8652617386,1711103731426
par-mnemonics,1839170111,10863720461,1711103731426
par-mnemonics,1731360070,12861387900,1711103731426
par-mnemonics,2045047990,14730247069,1711103731426
par-mnemonics,1735612561,16908242239,1711103731426
par-mnemonics,1706956499,18776680044,1711103731426
par-mnemonics,1740298705,20618025414,1711103731426
par-mnemonics,1856272337,22490520306,1711103731426
par-mnemonics,2073874042,24477140782,1711103731426
par-mnemonics,1756489025,26685943044,1711103731426
par-mnemonics,1736649465,28583286312,1711103731426
par-mnemonics,1749208237,30471320849,1711103731426
par-mnemonics,1726094606,32360727461,1711103731426
