benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,3441566199,285215354,1711103800773
par-mnemonics,2423521135,3915610536,1711103800773
par-mnemonics,2536037614,6513655023,1711103800773
par-mnemonics,1899224630,9211974345,1711103800773
par-mnemonics,2005731068,11258639121,1711103800773
par-mnemonics,1824258983,13418976215,1711103800773
par-mnemonics,1929039960,15428760079,1711103800773
par-mnemonics,1890778631,17501794113,1711103800773
par-mnemonics,1890674476,19531522435,1711103800773
par-mnemonics,1874553722,21557948251,1711103800773
par-mnemonics,1906238076,23571080462,1711103800773
par-mnemonics,1868759469,25609376566,1711103800773
par-mnemonics,1872122054,27620689757,1711103800773
par-mnemonics,1865822599,29640921573,1711103800773
par-mnemonics,2000840392,31645684039,1711103800773
par-mnemonics,1905634928,33789282276,1711103800773
