benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,3170144043,278658208,1711103836661
par-mnemonics,2417686048,3634561358,1711103836661
par-mnemonics,2418799405,6209055884,1711103836661
par-mnemonics,1881214732,8778634348,1711103836661
par-mnemonics,1802084748,10799798171,1711103836661
par-mnemonics,1643337895,12744211034,1711103836661
par-mnemonics,1660938591,14541842358,1711103836661
par-mnemonics,1657168664,16334193574,1711103836661
par-mnemonics,1679090890,18122811416,1711103836661
par-mnemonics,1703925888,19930028521,1711103836661
par-mnemonics,1696991633,21761296989,1711103836661
par-mnemonics,1654836518,23589754588,1711103836661
par-mnemonics,1640443883,25374863305,1711103836661
par-mnemonics,1672517738,27142941119,1711103836661
par-mnemonics,1683313417,28943861597,1711103836661
par-mnemonics,1698163278,30755644789,1711103836661
