benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,3442324979,294501721,1711103903459
par-mnemonics,2581356910,3947981574,1711103903459
par-mnemonics,2156788883,6722588228,1711103903459
par-mnemonics,2207561765,9067553789,1711103903459
par-mnemonics,2311335692,11458683463,1711103903459
par-mnemonics,2097972031,13924122944,1711103903459
par-mnemonics,2288167217,16157378791,1711103903459
par-mnemonics,2123799174,18578103903,1711103903459
par-mnemonics,2237722521,20835937450,1711103903459
par-mnemonics,2243800399,23263198303,1711103903459
par-mnemonics,2467405934,25647124004,1711103903459
par-mnemonics,2062855241,28250294814,1711103903459
par-mnemonics,2476225020,30445545161,1711103903459
par-mnemonics,2043935673,33055509639,1711103903459
par-mnemonics,2472435673,35244544152,1711103903459
par-mnemonics,2039748584,37858373448,1711103903459
