benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,3210081964,279817590,1711104154427
par-mnemonics,2491098028,3670526947,1711104154427
par-mnemonics,2182435697,6325438591,1711104154427
par-mnemonics,2031078757,8663821221,1711104154427
par-mnemonics,1852833330,10838248357,1711104154427
par-mnemonics,1639282148,12835253865,1711104154427
par-mnemonics,1817733276,14602393966,1711104154427
par-mnemonics,1637788378,16546713315,1711104154427
par-mnemonics,1718009825,18315111250,1711104154427
par-mnemonics,1820285369,20201963714,1711104154427
par-mnemonics,1739709685,22150094142,1711104154427
par-mnemonics,1621647859,24036891577,1711104154427
par-mnemonics,1671199893,25816172877,1711104154427
par-mnemonics,1919243160,27687579461,1711104154427
par-mnemonics,1935434752,29749509748,1711104154427
par-mnemonics,1601362984,31827607263,1711104154427
